acousticness,bb_index,billboard_artist,billboard_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.0251,67.0,kelly clarkson,catch my breath,0.692,250387.0,0.908,5qxPabNDnJQ551Tf4v6k3j,0.0,9.0,0.0933,-5.364,1.0,54.0,2012-11-19,0.0677,Greatest Hits - Chapter One,Kelly Clarkson,Catch My Breath,124.042,4.0,audio_features,spotify:track:5qxPabNDnJQ551Tf4v6k3j,0.513
0.0832,68.0,luke bryan,crash my party,0.51,226867.0,0.898,03fT3OHB9KyMtGMt2zwqCT,0.0,11.0,0.071,-3.15,1.0,74.0,2013-01-01,0.0696,Crash My Party,Luke Bryan,Play It Again,144.056,4.0,audio_features,spotify:track:03fT3OHB9KyMtGMt2zwqCT,0.596
0.021,69.0,rihanna,pour it up,0.782,161200.0,0.495,76VtA90NKurNqaQpV126Ue,0.0,2.0,0.104,-8.723,1.0,61.0,2012-12-11,0.0436,Unapologetic (Deluxe),Rihanna,Pour It Up,134.016,4.0,audio_features,spotify:track:76VtA90NKurNqaQpV126Ue,0.365
0.0027,70.0,taylor swift,22,0.664,230133.0,0.739,3bIxTsfeNMO7Nt2J3EUKrA,0.00273,7.0,0.0742,-6.539,1.0,59.0,2012-10-22,0.0377,Red (Deluxe Edition),Taylor Swift,22,104.012,4.0,audio_features,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,0.703
0.0539,71.0,hunter hayes,i want crazy,0.562,236865.0,0.878,4FkgULes13bk2eHrsJg4q9,0.0,8.0,0.112,-4.806,1.0,58.0,2011,0.0387,Hunter Hayes (Encore),Hunter Hayes,I Want Crazy - Encore,103.029,4.0,audio_features,spotify:track:4FkgULes13bk2eHrsJg4q9,0.558
0.107,72.0,ylvis,the fox (what does the fox say?),0.703,213708.0,0.867,5HOpkTTVcmZHnthgyxrIL8,0.0,6.0,0.119,-4.292,1.0,61.0,2013-09-02,0.0453,The Fox (What Does The Fox Say?),Ylvis,The Fox (What Does The Fox Say?),128.008,4.0,audio_features,spotify:track:5HOpkTTVcmZHnthgyxrIL8,0.546
0.0227,73.0,one direction,best song ever,0.652,200107.0,0.877,5T7ZFtCcOgkpjxcuaeZbw0,0.0,1.0,0.0789,-2.986,1.0,70.0,2013-11-25,0.0465,Midnight Memories (Deluxe),One Direction,Best Song Ever,118.491,4.0,audio_features,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,0.486
0.669,74.0,ed sheeran,the a team,0.642,258373.0,0.289,1VdZ0vKfR5jneCmWIUAMxK,0.0,9.0,0.18,-9.918,1.0,76.0,2011-09-09,0.0367,+,Ed Sheeran,The A Team,84.996,4.0,audio_features,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,0.407
0.118,75.0,fun,carry on,0.388,278373.0,0.694,7gpy7sfWPNuOKmUNs3XQYE,0.000293,5.0,0.082,-5.769,1.0,60.0,2012-02-21,0.0735,Some Nights (Spotify Exclusive),fun.,Carry On,145.434,5.0,audio_features,spotify:track:7gpy7sfWPNuOKmUNs3XQYE,0.365
0.0216,76.0,tim mcgraw,highway don't care,0.47,276880.0,0.79,4wFUdSCer8bdQsrp1M90sa,0.0,2.0,0.0863,-5.352,1.0,65.0,2013-01-01,0.039,Two Lanes Of Freedom,Tim McGraw,Highway Don't Care,158.061,4.0,audio_features,spotify:track:4wFUdSCer8bdQsrp1M90sa,0.495
